[1029/153229.231:ERROR:settings.cc(320)] Settings magic is not 1129342067
[1030/192149.826:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.828:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.829:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.829:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[1030/192149.829:ERROR:exception_snapshot_win.cc(98)] thread ID 12712 not found in process
